"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
1213,79,"FRA","France",11,"Île-de-France","","","Région","Region"
1214,79,"FRA","France",21,"Champagne-Ardenne","","Champaña-Ardenne","Région","Region"
1215,79,"FRA","France",22,"Picardie","","","Région","Region"
1216,79,"FRA","France",23,"Haute-Normandie","","Alta Normandía|Upper Normandy","Région","Region"
1217,79,"FRA","France",24,"Centre","","","Région","Region"
1218,79,"FRA","France",25,"Basse-Normandie","","Baja Normandía|Lower Normandy","Région","Region"
1219,79,"FRA","France",26,"Bourgogne","","Borgoña|Burgundy","Région","Region"
1220,79,"FRA","France",31,"Nord-Pas-de-Calais","","","Région","Region"
1221,79,"FRA","France",41,"Lorraine","","Lorena","Région","Region"
1222,79,"FRA","France",42,"Alsace","","Alsacia|Elsaß","Région","Region"
1223,79,"FRA","France",43,"Franche-Comté","","Franco-Condado","Région","Region"
1224,79,"FRA","France",52,"Pays de la Loire","","","Région","Region"
1225,79,"FRA","France",53,"Bretagne","","Bretaña|Brittany","Région","Region"
1226,79,"FRA","France",54,"Poitou-Charentes","","","Région","Region"
1227,79,"FRA","France",72,"Aquitaine","","","Région","Region"
1228,79,"FRA","France",73,"Midi-Pyrénées","","","Région","Region"
1229,79,"FRA","France",74,"Limousin","","Lemosin","Région","Region"
1230,79,"FRA","France",82,"Rhône-Alpes","","","Région","Region"
1231,79,"FRA","France",83,"Auvergne","","","Région","Region"
1232,79,"FRA","France",91,"Languedoc-Roussillon","","Languedoc-Rosellon","Région","Region"
1233,79,"FRA","France",93,"Provence-Alpes-Côte d'Azur","","","Région","Region"
1234,79,"FRA","France",94,"Corse","","Còrsica|Córcega|Corsica","Région","Region"
